jaar;gebiedcode15;variabele;waarde
2015;STAD;BBC_P;20
2005;STAD;BEV0_17;140615
2006;STAD;BEV0_17;139742
2007;STAD;BEV0_17;138806
2008;STAD;BEV0_17;138608
2009;STAD;BEV0_17;139281
2010;STAD;BEV0_17;141151
2011;STAD;BEV0_17;143022
2012;STAD;BEV0_17;144030
2013;STAD;BEV0_17;145663
2014;STAD;BEV0_17;147434
2015;STAD;BEV0_17;148574
2016;STAD;BEV0_17;148915
2017;STAD;BEV0_17;148853
2005;STAD;BEV0_17_P;18.9
2006;STAD;BEV0_17_P;18.8
2007;STAD;BEV0_17_P;18.7
2008;STAD;BEV0_17_P;18.5
2009;STAD;BEV0_17_P;18.4
2010;STAD;BEV0_17_P;18.4
2011;STAD;BEV0_17_P;18.3
2012;STAD;BEV0_17_P;18.2
2013;STAD;BEV0_17_P;18.2
2014;STAD;BEV0_17_P;18.2
2015;STAD;BEV0_17_P;18.1
2016;STAD;BEV0_17_P;17.8
2017;STAD;BEV0_17_P;17.6
